"household_id","province","district","urban_rural","region","household_size","income","expenditure","education","satisfaction","has_internet","num_children"
32,"Prov_02","Prov_02_Kab_02","Urban","Jawa",2,116647,84843,"D3",3,1,0
33,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,26438,20933,"SMP",3,0,0
34,"Prov_10","Prov_10_Kab_04","Rural","Indonesia Timur",3,78599,42124,"SMA",4,1,1
35,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",1,195154,157289,"SMA",3,1,0
36,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",5,133127,112244,"SMP",2,0,2
37,"Prov_01","Prov_01_Kab_03","Urban","Jawa",4,129081,115509,"SMA",3,1,3
38,"Prov_10","Prov_10_Kab_02","Rural","Indonesia Timur",4,55945,51479,"S1",4,0,1
39,"Prov_01","Prov_01_Kab_04","Rural","Jawa",2,35561,30219,"SMA",4,0,1
40,"Prov_05","Prov_05_Kab_02","Urban","Sumatera",5,58389,42287,"SD",3,1,4
41,"Prov_08","Prov_08_Kab_03","Rural","Sulawesi",5,67058,48278,"SD",3,0,3
42,"Prov_09","Prov_09_Kab_02","Urban","Sulawesi",8,104385,75807,"SMA",3,1,2
43,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",9,26625,19408,"D3",3,1,0
44,"Prov_03","Prov_03_Kab_03","Rural","Jawa",2,17060,13212,"SMP",4,0,1
45,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",5,210264,162800,"D3",3,1,4
46,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",4,47063,32206,"SMA",4,0,1
47,"Prov_03","Prov_03_Kab_01","Rural","Jawa",3,47061,38509,"S2+",3,0,2
48,"Prov_02","Prov_02_Kab_05","Rural","Jawa",4,35157,28601,"SMA",5,0,1
49,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",3,55916,43854,"SMP",3,1,2
50,"Prov_06","Prov_06_Kab_02","Urban","Kalimantan",4,157277,93785,"D3",5,1,1
51,"Prov_01","Prov_01_Kab_04","Rural","Jawa",2,30327,24056,"SD",4,1,0
52,"Prov_07","Prov_07_Kab_04","Urban","Kalimantan",4,48416,30202,"SD",3,0,1
53,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",3,88835,69340,"S1",2,1,1
54,"Prov_04","Prov_04_Kab_04","Urban","Sumatera",4,297515,251613,"SMA",5,1,3
55,"Prov_07","Prov_07_Kab_04","Urban","Kalimantan",1,52057,40636,"SMA",3,1,0
56,"Prov_06","Prov_06_Kab_03","Rural","Kalimantan",3,238248,177381,"SD",4,1,0
57,"Prov_01","Prov_01_Kab_04","Rural","Jawa",6,51915,41594,"S1",3,0,1
58,"Prov_02","Prov_02_Kab_02","Urban","Jawa",4,138761,87816,"S1",3,0,1
59,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",7,39562,21412,"SMP",3,1,2
60,"Prov_02","Prov_02_Kab_03","Rural","Jawa",4,227878,206391,"S1",5,1,2
61,"Prov_01","Prov_01_Kab_01","Urban","Jawa",5,480324,449086,"SMA",4,1,4
62,"Prov_03","Prov_03_Kab_04","Urban","Jawa",4,222954,153301,"SMP",3,0,2
63,"Prov_03","Prov_03_Kab_03","Urban","Jawa",5,45516,34767,"S1",2,1,1
64,"Prov_05","Prov_05_Kab_01","Urban","Sumatera",7,525596,499896,"SD",3,1,5
65,"Prov_02","Prov_02_Kab_01","Urban","Jawa",3,403597,337029,"SMA",4,1,1
66,"Prov_07","Prov_07_Kab_01","Urban","Kalimantan",4,263706,173016,"SMA",4,1,1
67,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",4,22636,17754,"D3",2,0,1
68,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",6,81152,45694,"S1",3,1,1
69,"Prov_02","Prov_02_Kab_03","Urban","Jawa",4,20734,14904,"S2+",4,1,1
70,"Prov_02","Prov_02_Kab_01","Urban","Jawa",2,151496,111475,"SD",4,1,1
71,"Prov_06","Prov_06_Kab_03","Urban","Kalimantan",5,378449,323658,"SMA",4,1,1
72,"Prov_02","Prov_02_Kab_02","Rural","Jawa",2,43994,40129,"SMP",3,0,0
73,"Prov_05","Prov_05_Kab_02","Rural","Sumatera",3,55682,36474,"SMP",4,1,0
74,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",6,9159,7810,"SMA",2,0,1
75,"Prov_02","Prov_02_Kab_05","Rural","Jawa",4,37932,30872,"SD",3,0,3
76,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",4,395236,277568,"SD",4,0,1
77,"Prov_02","Prov_02_Kab_03","Urban","Jawa",1,127588,94143,"D3",5,1,0
78,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,60983,32598,"SMA",3,0,2
79,"Prov_06","Prov_06_Kab_02","Rural","Kalimantan",3,18935,12647,"SD",4,1,0
80,"Prov_02","Prov_02_Kab_01","Urban","Jawa",5,151534,89914,"D3",3,1,0
81,"Prov_02","Prov_02_Kab_02","Urban","Jawa",4,149727,128556,"SMA",3,1,0
82,"Prov_02","Prov_02_Kab_04","Urban","Jawa",2,123272,97190,"SMA",3,0,0
83,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",4,53660,48461,"SMA",3,1,1
84,"Prov_01","Prov_01_Kab_03","Urban","Jawa",4,62531,53279,"SMP",4,1,1
85,"Prov_06","Prov_06_Kab_04","Urban","Kalimantan",2,170622,116533,"SD",3,1,0
86,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",2,21775,19562,"SD",4,1,0
87,"Prov_10","Prov_10_Kab_02","Rural","Indonesia Timur",5,24545,22312,"SMA",2,1,1
88,"Prov_02","Prov_02_Kab_05","Urban","Jawa",5,39669,27844,"S2+",4,1,1
89,"Prov_01","Prov_01_Kab_04","Urban","Jawa",2,417905,394569,"SMP",3,1,0
90,"Prov_08","Prov_08_Kab_05","Urban","Sulawesi",6,67035,45990,"SMP",3,1,3
91,"Prov_05","Prov_05_Kab_04","Urban","Sumatera",5,145446,97507,"SMA",4,1,1
92,"Prov_09","Prov_09_Kab_02","Rural","Sulawesi",2,60025,48032,"SMA",4,1,1
93,"Prov_05","Prov_05_Kab_02","Rural","Sumatera",3,67160,33970,"SD",2,1,0
94,"Prov_01","Prov_01_Kab_03","Urban","Jawa",1,88828,45050,"S1",4,1,0
95,"Prov_07","Prov_07_Kab_04","Rural","Kalimantan",4,113832,69502,"D3",3,1,2
96,"Prov_02","Prov_02_Kab_01","Rural","Jawa",1,57159,30022,"D3",3,0,0
97,"Prov_06","Prov_06_Kab_03","Rural","Kalimantan",2,50210,43862,"S1",2,1,0
98,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",2,42490,34668,"SMA",2,1,1
99,"Prov_10","Prov_10_Kab_04","Rural","Indonesia Timur",3,94410,54032,"SMP",4,1,1
100,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",9,128938,109438,"SMP",4,1,4
101,"Prov_02","Prov_02_Kab_05","Urban","Jawa",5,167202,116218,"SMA",5,1,2
102,"Prov_06","Prov_06_Kab_03","Rural","Kalimantan",7,41384,39063,"SD",2,0,1
103,"Prov_02","Prov_02_Kab_02","Urban","Jawa",7,462419,324406,"SD",3,1,2
104,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",5,20276,17587,"D3",1,1,0
105,"Prov_02","Prov_02_Kab_01","Urban","Jawa",4,104287,64686,"SMA",3,1,3
106,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",8,31101,17968,"SMA",3,1,2
107,"Prov_01","Prov_01_Kab_05","Urban","Jawa",3,211898,163549,"SMP",4,1,1
108,"Prov_01","Prov_01_Kab_02","Urban","Jawa",4,99746,69875,"S2+",4,1,1
109,"Prov_02","Prov_02_Kab_02","Urban","Jawa",2,215603,187285,"SMP",4,0,1
110,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",3,50055,35382,"D3",3,1,0
111,"Prov_01","Prov_01_Kab_04","Rural","Jawa",5,45795,30197,"SD",3,1,0
112,"Prov_05","Prov_05_Kab_04","Urban","Sumatera",4,140411,120935,"S1",4,1,0
113,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",5,109157,64136,"SMA",5,1,2
114,"Prov_01","Prov_01_Kab_01","Urban","Jawa",6,35970,19911,"SMA",2,0,2
115,"Prov_03","Prov_03_Kab_03","Urban","Jawa",5,200496,127818,"S1",5,1,0
116,"Prov_09","Prov_09_Kab_04","Rural","Sulawesi",4,96429,67473,"SMP",4,0,0
117,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",5,50613,36417,"SMA",3,0,1
118,"Prov_01","Prov_01_Kab_05","Rural","Jawa",1,42882,29151,"SMA",3,1,0
119,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",3,59724,41474,"SMA",2,1,1
120,"Prov_02","Prov_02_Kab_02","Rural","Jawa",2,27685,18703,"SMP",3,1,1
121,"Prov_09","Prov_09_Kab_01","Rural","Sulawesi",6,25627,15742,"SMP",2,1,2
122,"Prov_01","Prov_01_Kab_05","Rural","Jawa",1,28790,21539,"S1",3,0,0
123,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",2,232971,192442,"SMA",4,1,0
124,"Prov_01","Prov_01_Kab_04","Urban","Jawa",1,605329,391883,"SD",4,1,0
125,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",2,97001,78289,"SMA",4,1,0
126,"Prov_01","Prov_01_Kab_01","Urban","Jawa",3,110501,80144,"SMP",4,1,0
127,"Prov_05","Prov_05_Kab_01","Urban","Sumatera",5,93487,60976,"S1",3,1,3
128,"Prov_07","Prov_07_Kab_04","Urban","Kalimantan",3,64030,49717,"S1",2,1,2
129,"Prov_10","Prov_10_Kab_05","Rural","Indonesia Timur",2,42590,27115,"S2+",5,1,0
130,"Prov_10","Prov_10_Kab_03","Urban","Indonesia Timur",10,54855,47607,"SMA",3,1,2
131,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",5,50654,31642,"SMP",3,0,4
132,"Prov_01","Prov_01_Kab_01","Urban","Jawa",4,56272,35791,"D3",3,1,0
133,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,50239,31178,"SMP",3,0,2
134,"Prov_04","Prov_04_Kab_03","Rural","Sumatera",8,12211,8790,"SMA",3,1,1
135,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",5,37609,27713,"S2+",2,1,0
136,"Prov_06","Prov_06_Kab_02","Urban","Kalimantan",4,120005,59855,"S1",4,1,0
137,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",4,17605,13174,"SMA",2,1,0
138,"Prov_01","Prov_01_Kab_04","Urban","Jawa",2,128403,81124,"SMA",3,0,0
139,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,39851,29093,"SMA",3,0,0
140,"Prov_05","Prov_05_Kab_04","Urban","Sumatera",3,149087,90769,"D3",4,0,1
141,"Prov_08","Prov_08_Kab_01","Urban","Sulawesi",6,276327,210777,"SMA",3,1,4
142,"Prov_03","Prov_03_Kab_05","Urban","Jawa",5,96944,65947,"SMA",2,1,1
143,"Prov_01","Prov_01_Kab_04","Rural","Jawa",4,164465,134805,"SD",5,1,0
144,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",8,17633,11131,"SMP",3,1,2
145,"Prov_05","Prov_05_Kab_01","Urban","Sumatera",8,93906,65038,"SMA",5,1,4
146,"Prov_10","Prov_10_Kab_03","Rural","Indonesia Timur",3,25247,15141,"SD",4,1,1
147,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",4,44601,27115,"S1",3,0,2
148,"Prov_02","Prov_02_Kab_05","Rural","Jawa",4,25499,14127,"SD",4,0,0
149,"Prov_05","Prov_05_Kab_04","Urban","Sumatera",2,67669,47618,"SMA",4,1,1
150,"Prov_03","Prov_03_Kab_03","Urban","Jawa",6,84220,66816,"SMA",3,1,3
151,"Prov_03","Prov_03_Kab_01","Rural","Jawa",8,30331,23533,"SMA",3,0,6
152,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",6,36802,25178,"S1",2,0,2
153,"Prov_09","Prov_09_Kab_03","Urban","Sulawesi",9,119459,73986,"SMA",3,1,1
154,"Prov_02","Prov_02_Kab_02","Urban","Jawa",2,142626,107654,"SMA",4,1,0
155,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",1,52107,33940,"SMP",3,1,0
156,"Prov_03","Prov_03_Kab_05","Urban","Jawa",2,110782,95750,"S1",2,1,0
157,"Prov_01","Prov_01_Kab_03","Urban","Jawa",5,212109,109330,"SMP",4,1,1
158,"Prov_01","Prov_01_Kab_02","Rural","Jawa",3,21716,11921,"SD",3,0,0
159,"Prov_04","Prov_04_Kab_04","Urban","Sumatera",8,16489,9702,"S1",3,0,2
160,"Prov_01","Prov_01_Kab_04","Rural","Jawa",3,48545,45178,"S1",4,0,2
161,"Prov_01","Prov_01_Kab_04","Rural","Jawa",2,54424,38553,"S1",3,1,1
162,"Prov_07","Prov_07_Kab_04","Urban","Kalimantan",2,228638,202896,"SMA",4,1,1
163,"Prov_08","Prov_08_Kab_02","Urban","Sulawesi",4,166379,122820,"SMP",5,1,1
164,"Prov_01","Prov_01_Kab_05","Urban","Jawa",3,94631,74380,"S1",3,1,2
165,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",5,66355,38661,"SD",3,1,3
166,"Prov_07","Prov_07_Kab_01","Urban","Kalimantan",7,102762,89470,"SMP",3,1,2
167,"Prov_01","Prov_01_Kab_02","Urban","Jawa",2,93026,71827,"SD",3,1,1
168,"Prov_05","Prov_05_Kab_04","Urban","Sumatera",5,155228,139223,"SMA",4,0,1
169,"Prov_05","Prov_05_Kab_01","Rural","Sumatera",4,63114,49346,"S1",3,1,0
170,"Prov_03","Prov_03_Kab_05","Urban","Jawa",7,79911,44349,"S1",4,1,6
171,"Prov_08","Prov_08_Kab_03","Urban","Sulawesi",1,79883,63925,"S1",3,1,0
172,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",5,23922,19598,"SMA",3,1,4
173,"Prov_03","Prov_03_Kab_03","Urban","Jawa",5,99214,86918,"S2+",4,1,3
174,"Prov_07","Prov_07_Kab_03","Rural","Kalimantan",6,40336,33263,"S1",3,1,4
175,"Prov_03","Prov_03_Kab_05","Rural","Jawa",3,93732,58823,"SMA",3,0,1
176,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",5,14461,9160,"SMA",3,1,1
177,"Prov_03","Prov_03_Kab_02","Urban","Jawa",7,137676,107938,"D3",4,1,4
178,"Prov_01","Prov_01_Kab_05","Urban","Jawa",3,188869,113004,"SMP",4,1,1
179,"Prov_07","Prov_07_Kab_01","Rural","Kalimantan",3,44594,36701,"S2+",2,1,2
180,"Prov_05","Prov_05_Kab_02","Rural","Sumatera",4,47365,38536,"SMP",3,1,1
181,"Prov_01","Prov_01_Kab_04","Urban","Jawa",2,73109,34769,"S1",2,1,0
182,"Prov_09","Prov_09_Kab_02","Rural","Sulawesi",2,23292,18718,"SMP",2,0,1
183,"Prov_02","Prov_02_Kab_04","Urban","Jawa",5,97772,65569,"SMA",3,1,4
184,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",4,64421,46854,"SMA",1,1,0
185,"Prov_02","Prov_02_Kab_03","Urban","Jawa",4,84532,66046,"S2+",4,1,3
186,"Prov_10","Prov_10_Kab_03","Rural","Indonesia Timur",6,90278,72891,"SMA",5,0,2
187,"Prov_07","Prov_07_Kab_03","Urban","Kalimantan",1,88408,63874,"SMA",5,1,0
188,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",7,237062,148680,"SD",3,0,1
189,"Prov_06","Prov_06_Kab_01","Urban","Kalimantan",3,202839,172605,"SMP",4,1,0
190,"Prov_01","Prov_01_Kab_04","Rural","Jawa",4,308480,250938,"SMA",5,0,3
191,"Prov_01","Prov_01_Kab_05","Urban","Jawa",2,125557,98936,"SMA",3,0,1
192,"Prov_01","Prov_01_Kab_03","Urban","Jawa",1,150635,98015,"SMP",5,1,0
193,"Prov_01","Prov_01_Kab_03","Urban","Jawa",3,31859,21258,"S2+",3,1,0
194,"Prov_01","Prov_01_Kab_04","Urban","Jawa",3,171550,128358,"SMP",3,1,1
195,"Prov_01","Prov_01_Kab_04","Urban","Jawa",2,68184,59199,"S1",2,1,0
196,"Prov_01","Prov_01_Kab_05","Urban","Jawa",1,267816,149418,"SD",3,1,0
197,"Prov_04","Prov_04_Kab_05","Rural","Sumatera",1,28597,27016,"SD",3,1,0
198,"Prov_04","Prov_04_Kab_05","Urban","Sumatera",5,226944,170264,"SMA",3,1,1
199,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",3,62651,56737,"SD",3,1,1
200,"Prov_09","Prov_09_Kab_01","Rural","Sulawesi",2,37109,30415,"S1",3,0,0
201,"Prov_10","Prov_10_Kab_01","Rural","Indonesia Timur",5,91846,52767,"SMA",3,1,0
202,"Prov_01","Prov_01_Kab_01","Rural","Jawa",3,66187,30799,"S1",2,0,2
203,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",5,147110,79425,"SMA",3,1,4
204,"Prov_01","Prov_01_Kab_03","Urban","Jawa",7,54217,31835,"D3",3,1,2
205,"Prov_08","Prov_08_Kab_03","Rural","Sulawesi",2,109245,93950,"SMA",2,0,0
206,"Prov_01","Prov_01_Kab_02","Urban","Jawa",3,93833,74059,"SMA",4,1,2
207,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",4,97688,73025,"SD",2,0,3
208,"Prov_03","Prov_03_Kab_04","Rural","Jawa",4,67200,55412,"SD",4,0,0
209,"Prov_01","Prov_01_Kab_03","Urban","Jawa",2,165354,104856,"SMA",3,1,1
210,"Prov_08","Prov_08_Kab_04","Rural","Sulawesi",4,48130,26568,"S1",4,0,1
211,"Prov_05","Prov_05_Kab_01","Rural","Sumatera",4,138129,78863,"S1",2,1,3
212,"Prov_09","Prov_09_Kab_05","Rural","Sulawesi",6,43022,29627,"S2+",3,0,1
213,"Prov_03","Prov_03_Kab_04","Urban","Jawa",4,181776,100762,"SMA",3,0,1
214,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",4,64711,58402,"S1",4,1,2
215,"Prov_08","Prov_08_Kab_03","Urban","Sulawesi",4,116475,87664,"SMP",3,1,3
216,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",4,149907,125905,"SD",4,0,0
217,"Prov_02","Prov_02_Kab_03","Rural","Jawa",2,21476,13161,"SMP",2,0,0
218,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",3,306131,198266,"SMA",2,0,2
219,"Prov_01","Prov_01_Kab_03","Urban","Jawa",3,86100,57373,"S1",5,1,1
220,"Prov_01","Prov_01_Kab_05","Rural","Jawa",2,49472,43582,"S1",3,0,0
221,"Prov_01","Prov_01_Kab_03","Urban","Jawa",5,97888,82687,"SMP",3,1,4
222,"Prov_05","Prov_05_Kab_03","Rural","Sumatera",5,31438,22455,"SMA",2,1,1
223,"Prov_08","Prov_08_Kab_02","Urban","Sulawesi",7,59979,39351,"S2+",3,1,0
224,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",4,133024,114178,"SD",3,0,1
225,"Prov_02","Prov_02_Kab_02","Urban","Jawa",1,285191,201952,"S1",3,1,0
226,"Prov_08","Prov_08_Kab_03","Rural","Sulawesi",5,36638,20582,"SMP",3,0,3
227,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",1,75102,53213,"S1",3,1,0
228,"Prov_10","Prov_10_Kab_01","Rural","Indonesia Timur",2,180757,121031,"SD",4,0,1
229,"Prov_02","Prov_02_Kab_05","Urban","Jawa",4,155542,143815,"SMA",4,1,0
230,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",3,374549,316305,"SMA",3,1,1
231,"Prov_01","Prov_01_Kab_03","Rural","Jawa",5,69184,47748,"S1",3,1,0
232,"Prov_01","Prov_01_Kab_01","Rural","Jawa",6,89846,74348,"SMP",4,0,1
233,"Prov_10","Prov_10_Kab_02","Urban","Indonesia Timur",4,73253,42403,"SMA",3,1,1
234,"Prov_02","Prov_02_Kab_01","Urban","Jawa",2,59348,32286,"S1",2,1,1
235,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",4,42983,37960,"SD",2,1,1
236,"Prov_09","Prov_09_Kab_02","Rural","Sulawesi",2,49401,32849,"SMP",4,0,0
237,"Prov_03","Prov_03_Kab_03","Rural","Jawa",1,99159,65231,"SMP",4,1,0
238,"Prov_01","Prov_01_Kab_02","Urban","Jawa",5,72078,67538,"SMA",2,1,3
239,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",2,126595,98073,"SD",2,1,1
240,"Prov_09","Prov_09_Kab_02","Urban","Sulawesi",7,48202,44889,"SMA",4,0,2
241,"Prov_03","Prov_03_Kab_04","Rural","Jawa",1,76403,60051,"SMA",2,0,0
242,"Prov_01","Prov_01_Kab_05","Urban","Jawa",4,50126,30990,"SD",2,0,2
243,"Prov_03","Prov_03_Kab_03","Rural","Jawa",4,48601,28424,"SMA",3,1,2
244,"Prov_03","Prov_03_Kab_01","Rural","Jawa",6,110778,73337,"S2+",3,1,1
245,"Prov_01","Prov_01_Kab_02","Rural","Jawa",1,13501,9980,"SMA",4,0,0
246,"Prov_01","Prov_01_Kab_02","Urban","Jawa",1,99670,77789,"SMA",5,1,0
247,"Prov_03","Prov_03_Kab_01","Urban","Jawa",2,370070,344567,"SMA",3,1,0
248,"Prov_08","Prov_08_Kab_04","Urban","Sulawesi",1,83535,66611,"D3",3,1,0
249,"Prov_02","Prov_02_Kab_02","Urban","Jawa",3,53156,27813,"SMA",4,1,2
250,"Prov_07","Prov_07_Kab_05","Urban","Kalimantan",2,79656,53258,"S1",3,0,0
251,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",3,36948,21673,"SMA",4,0,2
252,"Prov_01","Prov_01_Kab_04","Rural","Jawa",1,38853,33508,"S1",3,0,0
253,"Prov_01","Prov_01_Kab_05","Urban","Jawa",3,266814,212589,"D3",4,1,1
254,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",5,86564,65490,"SMP",3,1,2
255,"Prov_01","Prov_01_Kab_02","Urban","Jawa",1,218420,124388,"SMA",3,1,0
256,"Prov_03","Prov_03_Kab_04","Urban","Jawa",4,195308,116263,"SMA",4,1,1
257,"Prov_02","Prov_02_Kab_05","Rural","Jawa",2,21312,14789,"SD",3,1,0
258,"Prov_02","Prov_02_Kab_03","Urban","Jawa",3,148073,106129,"D3",4,1,2
259,"Prov_06","Prov_06_Kab_04","Urban","Kalimantan",6,97347,49910,"SMA",4,1,5
260,"Prov_01","Prov_01_Kab_05","Urban","Jawa",4,98868,70289,"SMA",3,1,2
261,"Prov_01","Prov_01_Kab_05","Urban","Jawa",6,218409,114540,"D3",4,1,4
262,"Prov_01","Prov_01_Kab_01","Rural","Jawa",2,109207,77493,"S1",4,1,0
263,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",5,139157,87254,"S1",4,1,1
264,"Prov_06","Prov_06_Kab_01","Rural","Kalimantan",6,46715,24108,"SMA",3,0,0
265,"Prov_02","Prov_02_Kab_04","Urban","Jawa",9,95852,76666,"SMA",2,1,3
266,"Prov_05","Prov_05_Kab_04","Rural","Sumatera",4,31431,25067,"SMA",3,0,0
267,"Prov_04","Prov_04_Kab_03","Urban","Sumatera",3,99465,54907,"SMA",3,0,2
268,"Prov_02","Prov_02_Kab_05","Rural","Jawa",6,91571,84229,"D3",4,0,3
269,"Prov_10","Prov_10_Kab_01","Rural","Indonesia Timur",6,51315,29980,"SMA",4,0,3
270,"Prov_10","Prov_10_Kab_02","Rural","Indonesia Timur",1,54413,42253,"S2+",2,0,0
271,"Prov_02","Prov_02_Kab_04","Urban","Jawa",5,51304,43795,"SMP",2,0,3
272,"Prov_01","Prov_01_Kab_01","Urban","Jawa",3,202170,153964,"SMP",3,1,0
273,"Prov_01","Prov_01_Kab_04","Urban","Jawa",1,403685,353382,"SMP",4,1,0
274,"Prov_01","Prov_01_Kab_03","Urban","Jawa",3,30678,17090,"SMA",2,1,0
275,"Prov_06","Prov_06_Kab_04","Rural","Kalimantan",3,86167,58982,"S2+",3,1,1
276,"Prov_04","Prov_04_Kab_01","Urban","Sumatera",4,69965,53437,"D3",3,1,3
277,"Prov_05","Prov_05_Kab_05","Urban","Sumatera",5,60811,56050,"SMA",3,1,1
278,"Prov_01","Prov_01_Kab_04","Rural","Jawa",1,65256,41730,"D3",3,0,0
279,"Prov_03","Prov_03_Kab_05","Rural","Jawa",4,197920,102591,"S1",4,1,0
280,"Prov_10","Prov_10_Kab_03","Urban","Indonesia Timur",7,147857,130516,"SD",4,1,2
